"boardgamegeek.com game ID",title,yearpublished,playingtime,minplaytime,maxplaytime,minage,minplayers,maxplayers,categories,mechanics,families,designers,artists,publishers,"numplayervotes (1B 1R 1N 2B 2R 2N ...)","agevotes (2 3 4 5 6 8 10 12 14 16 18 21+)","textuse (no some mod ext max)"
13004,"The Downfall of Pompeii",2004,45,45,45,10,2,4,"1050","2676 2040 2002","5606 27539","398","11901 308","8 30677 10","0 2 63 15 68 23 36 67 0 78 28 1 3 7 52","0 0 0 4 7 17 6 0 0 0 0 0","35 0 0 0 0"
66188,"Fresco",2010,60,60,60,10,2,4,"1070","2689 2676 2004 2020","24255 39521","249 34864 34866","34863","47 3475 4335 22","0 1 66 9 60 51 55 67 1 106 22 2 0 0 52","0 0 0 0 0 7 14 12 1 0 0 0","46 1 0 0 0"
503,"Through the Desert",1998,45,45,45,10,2,5,"1009 1089 1052","2043 2081","6480 26432 13265 3400 42","2","12508 12017 11989 11902","6194 2973 17 4617 1391 37 3218 2962 8266 8759 538","0 0 96 58 99 9 110 53 6 60 81 14 10 76 51 0 0 87","0 0 0 4 3 15 9 3 0 0 0 0","49 0 0 0 0"
66690,"Dominion: Prosperity",2010,30,30,30,13,2,4,"1002 1042 1035","2041 2664 2040","28659 2580","10525","10371 43053 40032 11933 11886 21093 23545 14055 11968 29914 12019 11854 4959 12484 59 36996 34903 18995 38663 43054 12701 43055 11902 22608 16009 30125","3 267 4304 2366 5657 29907 133 1391 3218 9235","0 1 43 25 33 4 43 14 1 20 36 3 1 10 32","0 0 0 0 0 4 9 8 1 0 0 0","0 3 12 15 0"
150,"PitchCar",1995,30,30,30,6,2,8,"1032 1041 1030 1031 1038","2011","5552 3829 11505 6206","5","5","1562 44 6 3218 8322","0 11 51 2 48 27 13 58 14 36 45 2 39 41 0 48 38 1 26 48 7 35 41 8 7 14 34","0 1 7 12 5 2 1 0 0 0 0 0","38 0 0 0 0"
181,"Risk",1959,120,120,120,10,2,6,"1047 1026 1086 1019","2080 2046 2072 2019 2685 2004","25158 10149 4218","116 1047","3","3320 404 4922 4680 1935 1772 253 13103 858 6566 51 8245 2627 920 6876 417 28 38 4933 95 59","0 3 125 3 38 105 13 109 27 109 62 2 65 80 8 50 74 33 3 7 90","0 0 0 1 10 43 39 3 3 0 0 0","51 21 2 0 0"
21059,"Arkham Horror: Dunwich Horror Expansion",2006,240,240,240,12,1,8,"1022 1042 1046 1024 1093 1016","2023 2072 2040 2078 2015","4311 5141 5666","4819 2336","24858 11872 12017","2973 17 4617 264 18852 504 3446 8759","4 20 19 4 32 9 13 24 6 33 13 1 16 23 2 7 27 8 1 11 27 2 8 29 0 0 34","0 0 0 0 0 0 4 4 5 2 2 0","0 0 0 18 5"
90419,"Airlines Europe",2011,75,75,75,10,2,5,"2650 1021","2041 2081 2004 2005","","9","6076","29 4335 5657 8845 1391 18852 3","0 1 71 4 48 47 25 73 5 73 32 0 45 53 6 4 17 35","0 0 0 0 0 7 18 7 0 0 0 0","37 2 0 0 0"
31627,"Ticket to Ride: Nordic Countries",2007,60,30,60,8,2,3,"1034 1011 1097","2041 2040 2081 2004","10315 10316 10312 10313 17","9","12519 11886","1027 1391 3218 11107 7466","0 0 88 57 77 4 110 22 0 0 4 68","0 0 0 1 3 19 7 1 0 0 0 0","38 1 0 0 0"
41114,"The Resistance",2009,30,30,30,13,5,10,"1023 1039 1026 1030 1016 1081","2019 2020 2017","20304 7958 2989","11906","14650 49916 71120 39261 71122 71123 38447 49082 39248 71119 71121","1001 267 2366 2973 15605 264 1391 6275 8923 10290 25203 23031 7992 32395 2726 3242 8759","1 1 212 0 2 210 0 2 211 0 9 203 40 162 87 90 181 25 201 102 6 111 154 7 57 166 31 55 150 54 0 9 152","0 0 0 0 0 11 26 31 12 5 0 0","61 24 4 1 0"
